Symbol,Index,Industry,Sector,Country or region of registration,Description
A,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,"Agilent Technologies, Inc."
AA,"S&P MidCap 400, Russell 3000, Russell 1000",Aluminum,Non-energy minerals,United States,Alcoa Corporation
AAM,,Financial conglomerates,Finance,United States,AA Mission Acquisition Corp.
AAMI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Investment managers,Finance,United States,Acadian Asset Management Inc.
AAP,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,Advance Auto Parts Inc.
AAT,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"American Assets Trust, Inc."
AB,,Investment managers,Finance,United States,AllianceBernstein Holding L.P.
ABBV,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: major,Health technology,United States,AbbVie Inc.
ABCB,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Ameris Bancorp
ABG,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,Asbury Automotive Group Inc
ABM,"Russell 2000, Russell 3000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,ABM Industries Incorporated
ABR,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Arbor Realty Trust Inc
ABT,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,Abbott Laboratories
ACA,"Russell 2000, Russell 3000, Mini-Russell 2000",Construction materials,Non-energy minerals,United States,"Arcosa, Inc."
ACCO,"Russell 2000, Russell 3000, Mini-Russell 2000",Office equipment/Supplies,Producer manufacturing,United States,Acco Brands Corporation
ACEL,"Russell 2000, Russell 3000, Mini-Russell 2000",Movies/Entertainment,Consumer services,United States,"Accel Entertainment, Inc."
ACHR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Aerospace & defense,Electronic technology,United States,Archer Aviation Inc.
ACI,"S&P MidCap 400, Russell 3000, Russell 1000",Food retail,Retail trade,United States,"Albertsons Companies, Inc."
ACM,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Engineering & construction,Industrial services,United States,AECOM
ACN,"S&P 500, S&P 500 Information Technology, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Information technology services,Technology services,Ireland,Accenture plc
ACP,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Income Credit Strategies Fund of Benef Interest
ACR,"Russell 2000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,ACRES Commercial Realty Corp.
ACRE,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Ares Commercial Real Estate Corporation
ACV,,Investment trusts/Mutual funds,Miscellaneous,United States,Virtus Diversified Income & Convertible Fund
ACVA,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Internet software/Services,Technology services,United States,ACV Auctions Inc.
AD,,Wireless telecommunications,Communications,United States,"Array Digital Infrastructure, Inc."
ADC,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Agree Realty Corporation
ADCT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Pharmaceuticals: major,Health technology,Switzerland,ADC Therapeutics SA
ADM,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ US Benchmark Food Producers",Agricultural commodities/Milling,Process industries,United States,Archer-Daniels-Midland Company
ADNT,"Russell 2000, Russell 3000, Mini-Russell 2000",Auto parts: OEM,Producer manufacturing,United States,Adient plc
ADT,"Russell 3000, Russell 1000",Miscellaneous commercial services,Commercial services,United States,ADT Inc.
ADX,,Investment trusts/Mutual funds,Miscellaneous,United States,Adams Diversified Equity Fund Inc Shs
AEE,"S&P 500, S&P 500 Utilities, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,Ameren Corporation
AEFC,,Finance/Rental/Leasing,Finance,United States,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEO,"Russell 2000, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,"American Eagle Outfitters, Inc."
AER,,Finance/Rental/Leasing,Finance,Ireland,AerCap Holdings N.V.
AES,"S&P 500, S&P 500 Utilities, Russell 3000, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,The AES Corporation
AESI,"Russell 2000, Russell 3000, Mini-Russell 2000",Oilfield services/Equipment,Industrial services,United States,Atlas Energy Solutions Inc.
AEXA,,Financial conglomerates,Finance,United States,American Exceptionalism Acquisition Corp. A
AFB,,Investment trusts/Mutual funds,Miscellaneous,United States,AllianceBernstein National Municipal Income FundInc National Municipal Income Fund
AFG,"S&P MidCap 400, Russell 3000, Russell 1000",Property/Casualty insurance,Finance,United States,"American Financial Group, Inc."
AFL,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Multi-line insurance,Finance,United States,AFLAC Incorporated
AGCO,"S&P MidCap 400, Russell 3000, Russell 1000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,AGCO Corporation
AGD,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Global Dynamic Dividend Fund
AGL,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Medical/Nursing services,Health services,United States,"agilon health, inc."
AGM,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,Federal Agricultural Mortgage Corporation
AGO,"Russell 3000, Russell 1000",Specialty insurance,Finance,Bermuda,Assured Guaranty Ltd.
AGRO,,Agricultural commodities/Milling,Process industries,Luxembourg,Adecoagro S.A.
AGX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Engineering & construction,Industrial services,United States,"Argan, Inc."
AHH,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Armada Hoffler Properties, Inc."
AHL,"Russell 2000, Mini-Russell 2000",Multi-line insurance,Finance,Bermuda,Aspen Insurance Holdings Limited
AHR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"American Healthcare REIT, Inc."
AHT,,Real estate investment trusts,Finance,United States,"Ashford Hospitality Trust, Inc."
AI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"C3.ai, Inc."
AIG,"S&P 500, S&P 100, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Multi-line insurance,Finance,United States,"American International Group, Inc. New"
AII,"Russell 2000, Mini-Russell 2000",Property/Casualty insurance,Finance,United States,"American Integrity Insurance Group, Inc."
AIIA.U,,Financial conglomerates,Finance,United States,AI Infrastructure Acquisition Corp. Units Cons of 1 Shs A + 1/5 Rt
AIN,"Russell 2000, Russell 3000, Mini-Russell 2000",Textiles,Process industries,United States,Albany International Corporation
AIO,,Investment trusts/Mutual funds,Miscellaneous,United States,Virtus Artificial Intelligence & Technology Opportunities Fund
AIR,"Russell 2000, Russell 3000, Mini-Russell 2000",Aerospace & defense,Electronic technology,United States,AAR Corp.
AIT,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Wholesale distributors,Distribution services,United States,"Applied Industrial Technologies, Inc."
AIV,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Apartment Investment and Management Company Class A
AIZ,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Property/Casualty insurance,Finance,United States,"Assurant, Inc."
AJG,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Insurance brokers/Services,Finance,United States,Arthur J. Gallagher & Co.
AKA,,Internet retail,Retail trade,United States,a.k.a. Brands Holding Corp.
AKR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Acadia Realty Trust
AL,"Russell 3000, Russell 1000",Finance/Rental/Leasing,Finance,United States,Air Lease Corporation
ALB,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ Clean Edge Green Energy",Chemicals: specialty,Process industries,United States,Albemarle Corporation
ALE,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Alternative power generation,Utilities,United States,"Allete, Inc."
ALEX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Alexander & Baldwin, Inc."
ALG,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,"Alamo Group, Inc."
ALH,,Industrial machinery,Producer manufacturing,United States,Alliance Laundry Holdings Inc.
ALIT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,"Alight, Inc."
ALK,"Dow Jones Transportation Average, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000",Airlines,Transportation,United States,"Alaska Air Group, Inc."
